author,stars,comment
"i*****a",5,"Absorption:nice Skin Suitability:good for oily and sensitive skin  - a bit heavy at first apply but after dah dry down it became light texture - cooling  - bau macam dettol sikit - worth the hype  - got this for RM25 during sale - fast delivery using NDD and secured packaging ⭐️ recommended, thank u seller"
"mimienadia79",5,"Tq seller sy dah terima parcel...seperti biasa penghantaran lajuuuu...kali ni repeat yg besar terus sbb dpt harga murah dari biasa sempena tahun baru 01/01 hr tu...berbaloi beli yg ni jimat sgt2...tq ye🥰"
"c*****g",5,"Items received in good condition and the delivery was fast.  Thank you."
"c*****o",5,"Absorption:good Skin Suitability:good  This moisturizer is nice to use especially for it suit my skin much. It won't make me feel oily and sticky when applied on my facea"
"ameryllis",5,"Absorption:cepat meresap Skin Suitability:oily & combination  bau lembut & wangi tk menusuk hidung. selepas sapu texture krim cepat meresap & tk berminyak @ melekit."
"u*****7",5,"Texture:baru nak cuba. harap sesuai kulit muka  Tq seller. Sehari je dah sampai. Tq juga bagi freegift cermin yg cantik.tq Abam Courier."
"h*****h",5,"Fast delivery and nice packaging. Received in good condition."
"b*****t",5,"Received in good condition. Packaging ok. Delivery on time. This is the first time to buy this product , hope it suit my skin."
"alya3017",5,"Skin Suitability:Oily Absorption:Fast  Shelamat tiba. Sesuai untuk kulit berminyak dan acne. Daya serapan yang pantas dan tidak melekit. Harga murahhhh. Tq seller n SPX"
"natasha0060",5,"Skin Suitability:good Absorption:good  Dah repeat bnyk kali, tqq seller mmng trusted & muka jdi moist also kene dgn kulit saya, mmng akan pakai sampai bila2, tqq seller"
